Date,Time,Year,Month,Hour,Holiday,Working Day,Weekday,Temperature,Station ID,Station Location,User ID,User Age,User Gender,Trip Duration,Trip Start Time,Trip End Time,Season,Weather Conditions,Rider Type,Bike Type
2022-01-02,11:00,2022,January,11,Yes,No,Sunday,15.8,ST010,Secunderabad,U0017,49,Female,14,11:00,11:14,Winter,Cold,Subscriber,Premium Bike
2022-01-02,12:00,2022,January,12,Yes,No,Sunday,20.0,ST003,Jubilee Hills,U0018,48,Male,23,12:00,12:23,Winter,Cold,Subscriber,Premium Bike
2022-01-02,13:00,2022,January,13,Yes,No,Sunday,23.4,ST004,Madhapur,U0019,37,Female,43,13:00,13:43,Winter,Cold,Subscriber,Standard Bike
2022-01-02,14:00,2022,January,14,Yes,No,Sunday,18.0,ST004,Madhapur,U0020,48,Male,19,14:00,14:19,Winter,Cold,Casual,Electric Bike
2022-01-02,15:00,2022,January,15,Yes,No,Sunday,17.3,ST008,Shamshabad,U0021,37,Male,16,15:00,15:16,Winter,Cold,Subscriber,Premium Bike
2022-01-02,16:00,2022,January,16,Yes,No,Sunday,18.3,ST007,Kondapur,U0022,45,Male,46,16:00,16:46,Winter,Cold,Casual,Standard Bike
2022-01-02,17:00,2022,January,17,Yes,No,Sunday,18.4,ST004,Madhapur,U0023,35,Female,44,17:00,17:44,Winter,Cold,Subscriber,Premium Bike
2022-01-02,18:00,2022,January,18,Yes,No,Sunday,18.0,ST007,Kondapur,U0024,20,Male,37,18:00,18:37,Winter,Cold,Casual,Standard Bike
2022-01-02,19:00,2022,January,19,Yes,No,Sunday,22.9,ST007,Kondapur,U0025,48,Male,14,19:00,19:14,Winter,Cold,Subscriber,Premium Bike
2022-01-02,20:00,2022,January,20,Yes,No,Sunday,20.1,ST008,Shamshabad,U0026,51,Male,37,20:00,20:37,Winter,Cold,Casual,Premium Bike
2022-01-03,08:00,2022,January,8,No,Yes,Monday,19.1,ST003,Jubilee Hills,U0027,19,Male,47,08:00,08:47,Winter,Cold,Subscriber,Electric Bike
2022-01-03,09:00,2022,January,9,No,Yes,Monday,15.6,ST003,Jubilee Hills,U0028,20,Female,40,09:00,09:40,Winter,Cold,Subscriber,Standard Bike
2022-01-03,10:00,2022,January,10,No,Yes,Monday,24.8,ST004,Madhapur,U0029,65,Male,47,10:00,10:47,Winter,Cold,Subscriber,Premium Bike
2022-01-03,11:00,2022,January,11,No,Yes,Monday,23.3,ST005,Begumpet,U0030,56,Male,38,11:00,11:38,Winter,Cold,Casual,Standard Bike
2022-01-03,12:00,2022,January,12,No,Yes,Monday,15.4,ST002,Gachibowli,U0031,55,Female,58,12:00,12:58,Winter,Cold,Subscriber,Standard Bike
2022-01-03,13:00,2022,January,13,No,Yes,Monday,23.0,ST003,Jubilee Hills,U0032,30,Female,34,13:00,13:34,Winter,Cold,Subscriber,Electric Bike
2022-01-03,14:00,2022,January,14,No,Yes,Monday,19.0,ST010,Secunderabad,U0033,36,Female,11,14:00,14:11,Winter,Cold,Subscriber,Premium Bike
2022-01-03,15:00,2022,January,15,No,Yes,Monday,23.8,ST007,Kondapur,U0034,33,Female,31,15:00,15:31,Winter,Cold,Casual,Premium Bike
2022-01-03,16:00,2022,January,16,No,Yes,Monday,17.7,ST001,Banjara Hills,U0035,33,Female,40,16:00,16:40,Winter,Cold,Subscriber,Electric Bike
2022-01-03,17:00,2022,January,17,No,Yes,Monday,25.0,ST008,Shamshabad,U0036,39,Female,18,17:00,17:18,Winter,Cold,Casual,Standard Bike
2022-01-03,18:00,2022,January,18,No,Yes,Monday,15.3,ST006,Hitech City,U0037,53,Male,29,18:00,18:29,Winter,Cold,Casual,Premium Bike
2022-01-03,19:00,2022,January,19,No,Yes,Monday,21.2,ST008,Shamshabad,U0038,60,Female,10,19:00,19:10,Winter,Cold,Casual,Standard Bike
2022-01-03,20:00,2022,January,20,No,Yes,Monday,16.1,ST010,Secunderabad,U0039,33,Female,15,20:00,20:15,Winter,Cold,Casual,Standard Bike
2022-01-04,08:00,2022,January,8,No,Yes,Tuesday,20.2,ST008,Shamshabad,U0040,56,Female,52,08:00,08:52,Winter,Cold,Subscriber,Premium Bike
2022-01-04,09:00,2022,January,9,No,Yes,Tuesday,15.3,ST008,Shamshabad,U0041,44,Male,19,09:00,09:19,Winter,Cold,Subscriber,Electric Bike
2022-01-04,10:00,2022,January,10,No,Yes,Tuesday,16.7,ST004,Madhapur,U0042,63,Male,16,10:00,10:16,Winter,Cold,Subscriber,Standard Bike
2022-01-04,11:00,2022,January,11,No,Yes,Tuesday,17.9,ST002,Gachibowli,U0043,57,Male,59,11:00,11:59,Winter,Cold,Casual,Electric Bike
2022-01-04,12:00,2022,January,12,No,Yes,Tuesday,16.4,ST006,Hitech City,U0044,60,Male,45,12:00,12:45,Winter,Cold,Subscriber,Premium Bike
2022-01-04,13:00,2022,January,13,No,Yes,Tuesday,17.9,ST010,Secunderabad,U0045,58,Female,32,13:00,13:32,Winter,Cold,Subscriber,Premium Bike
2022-01-04,14:00,2022,January,14,No,Yes,Tuesday,20.5,ST005,Begumpet,U0046,39,Female,36,14:00,14:36,Winter,Cold,Subscriber,Premium Bike
2022-01-04,15:00,2022,January,15,No,Yes,Tuesday,16.9,ST004,Madhapur,U0047,30,Male,27,15:00,15:27,Winter,Cold,Casual,Standard Bike
2022-01-04,16:00,2022,January,16,No,Yes,Tuesday,22.4,ST005,Begumpet,U0048,64,Male,55,16:00,16:55,Winter,Cold,Casual,Electric Bike
2022-01-04,17:00,2022,January,17,No,Yes,Tuesday,24.9,ST003,Jubilee Hills,U0049,44,Female,59,17:00,17:59,Winter,Cold,Casual,Standard Bike
2022-01-04,18:00,2022,January,18,No,Yes,Tuesday,22.0,ST005,Begumpet,U0050,58,Female,34,18:00,18:34,Winter,Cold,Casual,Electric Bike
2022-01-04,19:00,2022,January,19,No,Yes,Tuesday,24.3,ST002,Gachibowli,U0051,22,Female,49,19:00,19:49,Winter,Cold,Subscriber,Premium Bike
2022-01-04,20:00,2022,January,20,No,Yes,Tuesday,18.8,ST007,Kondapur,U0052,20,Male,38,20:00,20:38,Winter,Cold,Casual,Standard Bike
2022-01-05,08:00,2022,January,8,No,Yes,Wednesday,22.0,ST004,Madhapur,U0053,45,Male,60,08:00,09:00,Winter,Clear,Subscriber,Standard Bike
2022-01-05,09:00,2022,January,9,No,Yes,Wednesday,16.6,ST005,Begumpet,U0054,65,Male,21,09:00,09:21,Winter,Clear,Subscriber,Premium Bike
2022-01-05,10:00,2022,January,10,No,Yes,Wednesday,22.6,ST004,Madhapur,U0055,21,Female,46,10:00,10:46,Winter,Clear,Subscriber,Premium Bike
2022-01-05,11:00,2022,January,11,No,Yes,Wednesday,15.4,ST009,Kukatpally,U0056,37,Male,51,11:00,11:51,Winter,Clear,Casual,Electric Bike
2022-01-05,12:00,2022,January,12,No,Yes,Wednesday,24.9,ST010,Secunderabad,U0057,20,Male,55,12:00,12:55,Winter,Clear,Casual,Standard Bike
2022-01-05,13:00,2022,January,13,No,Yes,Wednesday,17.2,ST002,Gachibowli,U0058,33,Male,45,13:00,13:45,Winter,Clear,Subscriber,Premium Bike
2022-01-05,14:00,2022,January,14,No,Yes,Wednesday,23.8,ST010,Secunderabad,U0059,48,Male,42,14:00,14:42,Winter,Clear,Subscriber,Premium Bike
2022-01-05,15:00,2022,January,15,No,Yes,Wednesday,19.0,ST002,Gachibowli,U0060,42,Female,49,15:00,15:49,Winter,Clear,Casual,Standard Bike
2022-01-05,16:00,2022,January,16,No,Yes,Wednesday,18.1,ST001,Banjara Hills,U0061,54,Male,13,16:00,16:13,Winter,Clear,Subscriber,Electric Bike
2022-01-05,17:00,2022,January,17,No,Yes,Wednesday,21.0,ST007,Kondapur,U0062,46,Male,58,17:00,17:58,Winter,Clear,Casual,Electric Bike
2022-01-05,18:00,2022,January,18,No,Yes,Wednesday,18.3,ST002,Gachibowli,U0063,25,Female,58,18:00,18:58,Winter,Clear,Casual,Electric Bike
2022-01-05,19:00,2022,January,19,No,Yes,Wednesday,15.4,ST001,Banjara Hills,U0064,36,Female,27,19:00,19:27,Winter,Clear,Casual,Electric Bike
2022-01-05,20:00,2022,January,20,No,Yes,Wednesday,19.1,ST008,Shamshabad,U0065,52,Female,53,20:00,20:53,Winter,Clear,Casual,Standard Bike
2022-01-06,08:00,2022,January,8,No,Yes,Thursday,15.6,ST009,Kukatpally,U0066,36,Female,22,08:00,08:22,Winter,Clear,Casual,Premium Bike
2022-01-06,09:00,2022,January,9,No,Yes,Thursday,24.8,ST009,Kukatpally,U0067,24,Male,59,09:00,09:59,Winter,Clear,Subscriber,Standard Bike
2022-01-06,10:00,2022,January,10,No,Yes,Thursday,22.5,ST005,Begumpet,U0068,39,Female,22,10:00,10:22,Winter,Clear,Subscriber,Standard Bike
2022-01-06,11:00,2022,January,11,No,Yes,Thursday,21.8,ST005,Begumpet,U0069,40,Male,26,11:00,11:26,Winter,Clear,Casual,Electric Bike
2022-01-06,12:00,2022,January,12,No,Yes,Thursday,20.2,ST004,Madhapur,U0070,34,Female,12,12:00,12:12,Winter,Clear,Subscriber,Premium Bike
2022-01-06,13:00,2022,January,13,No,Yes,Thursday,17.6,ST002,Gachibowli,U0071,49,Female,20,13:00,13:20,Winter,Clear,Subscriber,Premium Bike
2022-01-06,14:00,2022,January,14,No,Yes,Thursday,23.2,ST001,Banjara Hills,U0072,25,Female,10,14:00,14:10,Winter,Clear,Subscriber,Standard Bike
2022-01-06,15:00,2022,January,15,No,Yes,Thursday,23.4,ST007,Kondapur,U0073,61,Male,37,15:00,15:37,Winter,Clear,Subscriber,Premium Bike
2022-01-06,16:00,2022,January,16,No,Yes,Thursday,18.1,ST008,Shamshabad,U0074,36,Female,33,16:00,16:33,Winter,Clear,Casual,Standard Bike
2022-01-06,17:00,2022,January,17,No,Yes,Thursday,24.1,ST002,Gachibowli,U0075,38,Male,34,17:00,17:34,Winter,Clear,Subscriber,Standard Bike
2022-01-06,18:00,2022,January,18,No,Yes,Thursday,23.3,ST008,Shamshabad,U0076,45,Male,53,18:00,18:53,Winter,Clear,Subscriber,Electric Bike
2022-01-06,19:00,2022,January,19,No,Yes,Thursday,21.8,ST007,Kondapur,U0077,52,Female,40,19:00,19:40,Winter,Clear,Subscriber,Premium Bike
2022-01-06,20:00,2022,January,20,No,Yes,Thursday,15.1,ST002,Gachibowli,U0078,25,Female,15,20:00,20:15,Winter,Clear,Subscriber,Premium Bike
2022-01-07,08:00,2022,January,8,No,Yes,Friday,22.6,ST001,Banjara Hills,U0079,47,Female,46,08:00,08:46,Winter,Clear,Subscriber,Electric Bike
2022-01-07,09:00,2022,January,9,No,Yes,Friday,15.9,ST003,Jubilee Hills,U0080,32,Male,47,09:00,09:47,Winter,Clear,Casual,Standard Bike
2022-01-07,10:00,2022,January,10,No,Yes,Friday,20.7,ST004,Madhapur,U0081,33,Female,44,10:00,10:44,Winter,Clear,Casual,Electric Bike
2022-01-07,11:00,2022,January,11,No,Yes,Friday,15.1,ST007,Kondapur,U0082,29,Male,31,11:00,11:31,Winter,Clear,Casual,Standard Bike
2022-01-07,12:00,2022,January,12,No,Yes,Friday,22.0,ST003,Jubilee Hills,U0083,27,Male,14,12:00,12:14,Winter,Clear,Casual,Electric Bike
2022-01-07,13:00,2022,January,13,No,Yes,Friday,15.8,ST009,Kukatpally,U0084,51,Female,26,13:00,13:26,Winter,Clear,Subscriber,Standard Bike
2022-01-07,14:00,2022,January,14,No,Yes,Friday,15.5,ST009,Kukatpally,U0085,32,Female,17,14:00,14:17,Winter,Clear,Casual,Electric Bike
2022-01-07,15:00,2022,January,15,No,Yes,Friday,21.4,ST007,Kondapur,U0086,21,Female,41,15:00,15:41,Winter,Clear,Subscriber,Electric Bike
2022-01-07,16:00,2022,January,16,No,Yes,Friday,20.0,ST003,Jubilee Hills,U0087,34,Female,27,16:00,16:27,Winter,Clear,Subscriber,Standard Bike
2022-01-07,17:00,2022,January,17,No,Yes,Friday,19.9,ST010,Secunderabad,U0088,57,Female,42,17:00,17:42,Winter,Clear,Casual,Standard Bike
2022-01-07,18:00,2022,January,18,No,Yes,Friday,20.8,ST002,Gachibowli,U0089,55,Male,50,18:00,18:50,Winter,Clear,Casual,Standard Bike
2022-01-07,19:00,2022,January,19,No,Yes,Friday,15.6,ST004,Madhapur,U0090,45,Female,29,19:00,19:29,Winter,Clear,Casual,Standard Bike
2022-01-07,20:00,2022,January,20,No,Yes,Friday,18.1,ST006,Hitech City,U0091,43,Male,37,20:00,20:37,Winter,Clear,Subscriber,Electric Bike
2022-01-08,08:00,2022,January,8,Yes,No,Saturday,25.0,ST002,Gachibowli,U0092,32,Female,31,08:00,08:31,Winter,Cold,Casual,Premium Bike
2022-01-08,09:00,2022,January,9,Yes,No,Saturday,16.5,ST002,Gachibowli,U0093,36,Female,55,09:00,09:55,Winter,Cold,Casual,Electric Bike
2022-01-08,10:00,2022,January,10,Yes,No,Saturday,24.2,ST002,Gachibowli,U0094,47,Female,39,10:00,10:39,Winter,Cold,Subscriber,Standard Bike
2022-01-08,11:00,2022,January,11,Yes,No,Saturday,23.1,ST003,Jubilee Hills,U0095,55,Female,57,11:00,11:57,Winter,Cold,Casual,Standard Bike
2022-01-08,12:00,2022,January,12,Yes,No,Saturday,17.3,ST009,Kukatpally,U0096,60,Female,14,12:00,12:14,Winter,Cold,Casual,Electric Bike
2022-01-08,13:00,2022,January,13,Yes,No,Saturday,19.9,ST003,Jubilee Hills,U0097,62,Female,32,13:00,13:32,Winter,Cold,Subscriber,Electric Bike
2022-01-08,14:00,2022,January,14,Yes,No,Saturday,23.0,ST005,Begumpet,U0098,61,Male,49,14:00,14:49,Winter,Cold,Casual,Standard Bike
2022-01-08,15:00,2022,January,15,Yes,No,Saturday,19.7,ST007,Kondapur,U0099,45,Male,11,15:00,15:11,Winter,Cold,Subscriber,Premium Bike
2022-01-08,16:00,2022,January,16,Yes,No,Saturday,16.8,ST008,Shamshabad,U0100,49,Male,56,16:00,16:56,Winter,Cold,Subscriber,Standard Bike
2022-01-08,17:00,2022,January,17,Yes,No,Saturday,24.8,ST002,Gachibowli,U0101,20,Female,28,17:00,17:28,Winter,Cold,Casual,Electric Bike
2022-01-08,18:00,2022,January,18,Yes,No,Saturday,24.9,ST001,Banjara Hills,U0102,33,Male,37,18:00,18:37,Winter,Cold,Subscriber,Premium Bike
2022-01-08,19:00,2022,January,19,Yes,No,Saturday,20.4,ST002,Gachibowli,U0103,35,Female,26,19:00,19:26,Winter,Cold,Subscriber,Standard Bike
2022-01-08,20:00,2022,January,20,Yes,No,Saturday,19.2,ST003,Jubilee Hills,U0104,37,Male,46,20:00,20:46,Winter,Cold,Casual,Electric Bike
2022-01-09,08:00,2022,January,8,Yes,No,Sunday,18.4,ST001,Banjara Hills,U0105,62,Male,37,08:00,08:37,Winter,Cold,Subscriber,Premium Bike
2022-01-09,09:00,2022,January,9,Yes,No,Sunday,20.0,ST004,Madhapur,U0106,33,Male,47,09:00,09:47,Winter,Cold,Subscriber,Electric Bike
2022-01-09,10:00,2022,January,10,Yes,No,Sunday,21.8,ST001,Banjara Hills,U0107,65,Female,13,10:00,10:13,Winter,Cold,Casual,Standard Bike
2022-01-09,11:00,2022,January,11,Yes,No,Sunday,16.2,ST004,Madhapur,U0108,42,Female,18,11:00,11:18,Winter,Cold,Subscriber,Electric Bike
2022-01-09,12:00,2022,January,12,Yes,No,Sunday,16.6,ST006,Hitech City,U0109,22,Male,43,12:00,12:43,Winter,Cold,Subscriber,Premium Bike
2022-01-09,13:00,2022,January,13,Yes,No,Sunday,21.0,ST002,Gachibowli,U0110,60,Male,32,13:00,13:32,Winter,Cold,Subscriber,Premium Bike
2022-01-09,14:00,2022,January,14,Yes,No,Sunday,19.7,ST003,Jubilee Hills,U0111,61,Male,51,14:00,14:51,Winter,Cold,Casual,Premium Bike
2022-01-09,15:00,2022,January,15,Yes,No,Sunday,15.6,ST010,Secunderabad,U0112,41,Female,54,15:00,15:54,Winter,Cold,Casual,Electric Bike
2022-01-09,16:00,2022,January,16,Yes,No,Sunday,20.9,ST003,Jubilee Hills,U0113,28,Female,20,16:00,16:20,Winter,Cold,Subscriber,Premium Bike
2022-01-09,17:00,2022,January,17,Yes,No,Sunday,17.7,ST006,Hitech City,U0114,36,Male,27,17:00,17:27,Winter,Cold,Casual,Electric Bike
2022-01-09,18:00,2022,January,18,Yes,No,Sunday,18.9,ST004,Madhapur,U0115,50,Female,40,18:00,18:40,Winter,Cold,Subscriber,Electric Bike
2022-01-09,19:00,2022,January,19,Yes,No,Sunday,22.9,ST001,Banjara Hills,U0116,55,Male,23,19:00,19:23,Winter,Cold,Subscriber,Electric Bike
2022-01-09,20:00,2022,January,20,Yes,No,Sunday,19.4,ST004,Madhapur,U0117,24,Female,35,20:00,20:35,Winter,Cold,Subscriber,Standard Bike
2022-01-10,08:00,2022,January,8,No,Yes,Monday,23.2,ST008,Shamshabad,U0118,20,Male,10,08:00,08:10,Winter,Clear,Subscriber,Electric Bike
2022-01-10,09:00,2022,January,9,No,Yes,Monday,22.3,ST006,Hitech City,U0119,39,Male,18,09:00,09:18,Winter,Clear,Casual,Electric Bike
2022-01-10,10:00,2022,January,10,No,Yes,Monday,20.2,ST004,Madhapur,U0120,23,Male,37,10:00,10:37,Winter,Clear,Subscriber,Standard Bike
2022-01-10,11:00,2022,January,11,No,Yes,Monday,21.2,ST006,Hitech City,U0121,38,Female,26,11:00,11:26,Winter,Clear,Casual,Electric Bike
2022-01-10,12:00,2022,January,12,No,Yes,Monday,18.2,ST003,Jubilee Hills,U0122,57,Female,46,12:00,12:46,Winter,Clear,Casual,Electric Bike
2022-01-10,13:00,2022,January,13,No,Yes,Monday,24.1,ST001,Banjara Hills,U0123,58,Female,55,13:00,13:55,Winter,Clear,Casual,Standard Bike
2022-01-10,14:00,2022,January,14,No,Yes,Monday,24.8,ST009,Kukatpally,U0124,19,Female,10,14:00,14:10,Winter,Clear,Casual,Standard Bike
2022-01-10,15:00,2022,January,15,No,Yes,Monday,16.6,ST002,Gachibowli,U0125,56,Female,35,15:00,15:35,Winter,Clear,Subscriber,Standard Bike
2022-01-10,16:00,2022,January,16,No,Yes,Monday,22.4,ST006,Hitech City,U0126,50,Female,41,16:00,16:41,Winter,Clear,Subscriber,Electric Bike
2022-01-10,17:00,2022,January,17,No,Yes,Monday,16.7,ST001,Banjara Hills,U0127,62,Male,33,17:00,17:33,Winter,Clear,Subscriber,Electric Bike
2022-01-10,18:00,2022,January,18,No,Yes,Monday,16.7,ST010,Secunderabad,U0128,53,Female,60,18:00,19:00,Winter,Clear,Casual,Electric Bike
2022-01-10,19:00,2022,January,19,No,Yes,Monday,21.8,ST010,Secunderabad,U0129,53,Male,44,19:00,19:44,Winter,Clear,Casual,Premium Bike
2022-01-10,20:00,2022,January,20,No,Yes,Monday,15.7,ST004,Madhapur,U0130,23,Male,22,20:00,20:22,Winter,Clear,Subscriber,Premium Bike
2022-01-11,08:00,2022,January,8,No,Yes,Tuesday,21.1,ST008,Shamshabad,U0131,60,Male,58,08:00,08:58,Winter,Clear,Subscriber,Electric Bike
2022-01-11,09:00,2022,January,9,No,Yes,Tuesday,17.7,ST009,Kukatpally,U0132,19,Male,31,09:00,09:31,Winter,Clear,Subscriber,Standard Bike
2022-01-11,10:00,2022,January,10,No,Yes,Tuesday,22.5,ST006,Hitech City,U0133,62,Female,57,10:00,10:57,Winter,Clear,Subscriber,Premium Bike
2022-01-11,11:00,2022,January,11,No,Yes,Tuesday,19.5,ST010,Secunderabad,U0134,63,Female,25,11:00,11:25,Winter,Clear,Subscriber,Electric Bike
2022-01-11,12:00,2022,January,12,No,Yes,Tuesday,22.5,ST006,Hitech City,U0135,30,Male,49,12:00,12:49,Winter,Clear,Subscriber,Electric Bike
2022-01-11,13:00,2022,January,13,No,Yes,Tuesday,24.1,ST004,Madhapur,U0136,50,Male,55,13:00,13:55,Winter,Clear,Subscriber,Electric Bike
2022-01-11,14:00,2022,January,14,No,Yes,Tuesday,24.0,ST007,Kondapur,U0137,61,Female,39,14:00,14:39,Winter,Clear,Casual,Standard Bike
2022-01-11,15:00,2022,January,15,No,Yes,Tuesday,20.2,ST005,Begumpet,U0138,19,Male,58,15:00,15:58,Winter,Clear,Subscriber,Premium Bike
2022-01-11,16:00,2022,January,16,No,Yes,Tuesday,21.6,ST002,Gachibowli,U0139,46,Female,25,16:00,16:25,Winter,Clear,Subscriber,Electric Bike
2022-01-11,17:00,2022,January,17,No,Yes,Tuesday,19.4,ST009,Kukatpally,U0140,19,Female,34,17:00,17:34,Winter,Clear,Subscriber,Electric Bike
2022-01-11,18:00,2022,January,18,No,Yes,Tuesday,21.4,ST003,Jubilee Hills,U0141,40,Male,60,18:00,19:00,Winter,Clear,Subscriber,Premium Bike
2022-01-11,19:00,2022,January,19,No,Yes,Tuesday,19.0,ST006,Hitech City,U0142,34,Female,59,19:00,19:59,Winter,Clear,Casual,Standard Bike
2022-01-11,20:00,2022,January,20,No,Yes,Tuesday,20.1,ST005,Begumpet,U0143,20,Male,28,20:00,20:28,Winter,Clear,Casual,Electric Bike
2022-01-12,08:00,2022,January,8,No,Yes,Wednesday,17.1,ST010,Secunderabad,U0144,41,Female,32,08:00,08:32,Winter,Clear,Casual,Electric Bike
2022-01-12,09:00,2022,January,9,No,Yes,Wednesday,17.7,ST007,Kondapur,U0145,23,Female,32,09:00,09:32,Winter,Clear,Subscriber,Standard Bike
2022-01-12,10:00,2022,January,10,No,Yes,Wednesday,21.1,ST004,Madhapur,U0146,41,Male,58,10:00,10:58,Winter,Clear,Casual,Electric Bike
2022-01-12,11:00,2022,January,11,No,Yes,Wednesday,19.4,ST009,Kukatpally,U0147,60,Male,31,11:00,11:31,Winter,Clear,Casual,Premium Bike
2022-01-12,12:00,2022,January,12,No,Yes,Wednesday,18.2,ST005,Begumpet,U0148,29,Female,48,12:00,12:48,Winter,Clear,Casual,Electric Bike
2022-01-12,13:00,2022,January,13,No,Yes,Wednesday,24.9,ST003,Jubilee Hills,U0149,18,Male,58,13:00,13:58,Winter,Clear,Subscriber,Premium Bike
2022-01-12,14:00,2022,January,14,No,Yes,Wednesday,15.5,ST003,Jubilee Hills,U0150,65,Male,27,14:00,14:27,Winter,Clear,Subscriber,Premium Bike
2022-01-12,15:00,2022,January,15,No,Yes,Wednesday,16.2,ST002,Gachibowli,U0151,37,Female,59,15:00,15:59,Winter,Clear,Subscriber,Electric Bike
2022-01-12,16:00,2022,January,16,No,Yes,Wednesday,20.8,ST002,Gachibowli,U0152,64,Male,11,16:00,16:11,Winter,Clear,Casual,Electric Bike
2022-01-12,17:00,2022,January,17,No,Yes,Wednesday,22.3,ST008,Shamshabad,U0153,62,Female,41,17:00,17:41,Winter,Clear,Casual,Electric Bike
2022-01-12,18:00,2022,January,18,No,Yes,Wednesday,22.1,ST005,Begumpet,U0154,20,Male,56,18:00,18:56,Winter,Clear,Subscriber,Premium Bike
2022-01-12,19:00,2022,January,19,No,Yes,Wednesday,20.9,ST008,Shamshabad,U0155,65,Female,56,19:00,19:56,Winter,Clear,Subscriber,Premium Bike
2022-01-12,20:00,2022,January,20,No,Yes,Wednesday,21.9,ST004,Madhapur,U0156,58,Male,24,20:00,20:24,Winter,Clear,Subscriber,Standard Bike
2022-01-13,08:00,2022,January,8,No,Yes,Thursday,16.5,ST005,Begumpet,U0157,39,Male,36,08:00,08:36,Winter,Clear,Subscriber,Standard Bike
2022-01-13,09:00,2022,January,9,No,Yes,Thursday,19.6,ST010,Secunderabad,U0158,45,Female,37,09:00,09:37,Winter,Clear,Casual,Standard Bike
2022-01-13,10:00,2022,January,10,No,Yes,Thursday,18.9,ST009,Kukatpally,U0159,51,Female,36,10:00,10:36,Winter,Clear,Subscriber,Premium Bike
2022-01-13,11:00,2022,January,11,No,Yes,Thursday,16.2,ST004,Madhapur,U0160,56,Male,57,11:00,11:57,Winter,Clear,Subscriber,Premium Bike
2022-01-13,12:00,2022,January,12,No,Yes,Thursday,17.5,ST005,Begumpet,U0161,53,Female,13,12:00,12:13,Winter,Clear,Subscriber,Electric Bike
2022-01-13,13:00,2022,January,13,No,Yes,Thursday,21.8,ST001,Banjara Hills,U0162,56,Male,11,13:00,13:11,Winter,Clear,Subscriber,Standard Bike
2022-01-13,14:00,2022,January,14,No,Yes,Thursday,21.5,ST010,Secunderabad,U0163,60,Female,36,14:00,14:36,Winter,Clear,Casual,Standard Bike
2022-01-13,15:00,2022,January,15,No,Yes,Thursday,17.3,ST001,Banjara Hills,U0164,44,Female,33,15:00,15:33,Winter,Clear,Casual,Standard Bike
2022-01-13,16:00,2022,January,16,No,Yes,Thursday,18.4,ST007,Kondapur,U0165,30,Female,37,16:00,16:37,Winter,Clear,Subscriber,Standard Bike
